1;   8, 9;                                     46, 58;                 46;     ; 14, 83;  Lord's Cricket Ground North
2;   10, 20;                                         ;                   ;     ; 35, 85;  London Zoo
3;   4, 11, 12;                                22, 23;                   ;     ; 48, 85;
4;   3, 13;                                          ;                   ;     ; 57, 86;
5;   15, 16;                                         ;                   ;     ; 89, 85;
6;   7, 29;                                          ;                   ;     ;100, 85;
7;   6, 17;                                        42;                   ;     ;110, 84;
8;   1, 18, 19;                                      ;                   ;     ;  9, 79;  Lord's Cricket Ground West
9;   1, 19, 20;                                      ;                   ;     ; 18, 78;  Lord's Cricket Ground East
10;   2, 11, 21, 34;                                 ;                   ;     ; 42, 79;  Regent's Park East
11;   3, 10, 22;                                     ;                   ;     ; 48, 78;
12;   3, 23;                                         ;                   ;     ; 53, 79;  Euston
13;   4, 14, 23, 24;                       14, 23, 52;         46, 67, 89;     ; 63, 80;  King's Cross
14;   13, 15, 25;                              13, 15;                   ;     ; 72, 82;
15;   5, 14, 16, 26, 28;                   14, 29, 41;                   ;     ; 82, 83;
16;   5, 15, 28, 29;                                 ;                   ;     ; 91, 79;
17;   7, 29, 30;                                     ;                   ;     ;109, 76;
18;   8, 31, 43;                                     ;                   ;     ;  4, 75;
19;   8, 9, 32;                                      ;                   ;     ; 13, 74;  Lord's Cricket Ground South
20;   2, 9, 33;                                      ;                   ;     ; 22, 76;  Regent's Park West
21;   10, 33;                                        ;                   ;     ; 32, 72;  Queen Mary's Garden
22;   11, 23, 34, 35;                   3, 23, 34, 65;                   ;     ; 48, 71;  Post Office Tower North
23;   12, 13, 22, 37;                   3, 13, 22, 67;                   ;     ; 56, 75;
24;   13, 37, 38;                                    ;                   ;     ; 68, 75;
25;   14, 38, 39;                                    ;                   ;     ; 73, 73;
26;   15, 27, 39;                                    ;                   ;     ; 81, 79;
27;   26, 28, 40;                                    ;                   ;     ; 83, 75;
28;   15, 16, 27, 41;                                ;                   ;     ; 86, 76;
29;   6, 16, 17, 41, 42;               15, 41, 42, 55;                   ;     ;100, 74;
30;   17, 42;                                        ;                   ;     ;113, 74;
31;   18, 43, 44;                                    ;                   ;     ;  8, 71;
32;   19, 33, 44, 45;                                ;                   ;     ; 20, 68;  Marylebone North
33;   20, 21, 32, 46;                                ;                   ;     ; 28, 70;  Planetarium North
34;   10, 22, 47, 48;                      22, 46, 63;                   ;     ; 42, 68;  Post Office Tower West
35;   22, 36, 48, 65;                                ;                   ;     ; 51, 67;  Post Office Tower East
36;   35, 37, 49;                                    ;                   ;     ; 54, 66;  University of London West
37;   23, 24, 36, 50;                                ;                   ;     ; 59, 70;
38;   24, 25, 50, 51;                                ;                   ;     ; 71, 70;
39;   25, 26, 51, 52;                                ;                   ;     ; 76, 71;
40;   27, 41, 52, 53;                                ;                   ;     ; 85, 67;
41;   28, 29, 40, 54;                  15, 29, 52, 87;                   ;     ; 89, 69;
42;   29, 30, 56, 72;                       7, 29, 72;                   ;     ;109, 69;
43;   18, 31, 57;                                    ;                   ;     ;  3, 67;
44;   31, 32, 58;                                    ;                   ;     ; 14, 64;
45;   32, 46, 58, 59, 60;                            ;                   ;     ; 23, 63;  Marylebone South
46;   33, 45, 47, 61;                   1, 34, 58, 78;      1, 13, 74, 79;     ; 29, 65;  Planetarium South
47;   34, 46, 62;                                    ;                   ;     ; 35, 67;  Maddam Tussaud's
48;   34, 35, 62, 63;                                ;                   ;     ; 44, 63;  Post Office Tower South
49;   36, 50, 66;                                    ;                   ;     ; 57, 63;  British Museum North
50;   37, 38, 49;                                    ;                   ;     ; 63, 66;  University of London East
51;   38, 39, 52, 67, 68;                            ;                   ;     ; 74, 65;
52;   39, 40, 51, 69;                  14, 41, 67, 86;                   ;     ; 80, 67;
53;   40, 54, 69;                                    ;                   ;     ; 86, 63;  Smithfield Market East
54;   41, 53, 55, 70;                                ;                   ;     ; 90, 65;
55;   54, 71;                                  29, 89;                   ;     ;100, 65;
56;   42, 91;                                        ;                   ;     ;113, 64;
57;   43, 58, 73;                                    ;                   ;     ;  7, 62;
58;   44, 45, 57, 59, 74, 75;           1, 46, 74, 77;                   ;     ; 18, 61;
59;   45, 58, 75, 76;                                ;                   ;     ; 20, 58;
60;   45, 61, 76;                                    ;                   ;     ; 24, 59;
61;   46, 60, 62, 76, 78;                            ;                   ;     ; 32, 58;
62;   47, 48, 61, 79;                                ;                   ;     ; 35, 59;
63;   48, 64, 79, 80;                 34, 65, 79, 100;                   ;     ; 45, 55;
64;   63, 65, 81;                                    ;                   ;     ; 51, 56;
65;   35, 64, 66, 82;                  22, 63, 67, 82;                   ;     ; 57, 57;
66;   49, 65, 67, 82;                                ;                   ;     ; 60, 58;  British Museum South
67;   51, 66, 68, 84;             23, 52, 65, 82, 102;    13, 79, 89, 111;     ; 67, 59;
68;   51, 67, 69, 85;                                ;                   ;     ; 75, 61;
69;   52, 53, 68, 86;                                ;                   ;     ; 82, 61;  Smithfield Market West
70;   54, 71, 87;                                    ;                   ;     ; 90, 60;  Guildhall West
71;   55, 70, 72, 89;                                ;                   ;     ; 99, 60;  Guildhall East
72;   42, 71, 90, 91;                    42, 105, 107;                   ;     ;107, 59;  Liverpool Station
73;   57, 74, 92;                                    ;                   ;     ;  7, 58;  Paddington North
74;   58, 73, 75, 92;                          58, 94;                 46;     ; 10, 54;  Paddington South
75;   58, 59, 74, 94;                                ;                   ;     ; 16, 55;
76;   59, 69, 61, 77;                                ;                   ;     ; 23, 55;
77;   76, 78, 95, 96;                 58, 78, 94, 124;                   ;     ; 27, 51;
78;   61, 77, 79, 97;                      46, 77, 79;                   ;     ; 33, 52;
79;   62, 63, 78, 98;                          63, 78;    46, 67, 93, 111;     ; 37, 53;
80;   63, 99, 100;                                   ;                   ;     ; 46, 51;
81;   64, 82, 100;                                   ;                   ;     ; 55, 50;
82;   65, 66, 81, 101;               65, 67, 100, 140;                   ;     ; 58, 52;
83;   101, 102;                                      ;                   ;     ; 65, 53;
84;   67, 85;                                        ;                   ;     ; 71, 56;
85;   68, 84, 103;                                   ;                   ;     ; 75, 57;
86;   69, 103, 104;                  52, 87, 102, 116;                   ;     ; 83, 54;  The Temple East
87;   70, 88;                             41, 86, 105;                   ;     ; 91, 52;  St Paul's Cathedral
88;   87, 89, 117;                                   ;                   ;     ; 95, 52;  Southwark Bridge North
89;   71, 88, 105;                            55, 105;   13, 67, 140, 159;     ; 98, 54;  Bank of England
90;   72, 91, 105;                                   ;                   ;     ;104, 54;
91;   56, 72, 90, 105, 107;                          ;                   ;     ;112, 54;
92;   73, 74, 93;                                    ;                   ;     ;  3, 49;
93;   92, 94;                                      94;                 79;     ;  4, 46;  Kensington Gardens North
94;   75, 93, 95;                          74, 77, 93;                   ;     ; 11, 48;  The Serpentine
95;   77, 94, 122;                                   ;                   ;     ; 15, 48;  Hyde Park West
96;   77, 97, 109;                                   ;                   ;     ; 32, 46;  Hyde Park North
97;   78, 96, 98, 109;                               ;                   ;     ; 35, 47;
98;   79, 97, 99, 110;                               ;                   ;     ; 39, 49;
99;   80, 98, 110, 112;                              ;                   ;     ; 44, 49;
100;   80, 81, 101, 112, 113;             63, 82, 111;                   ;     ; 52, 46;  National Gallery
101;   82, 83, 100, 114;                             ;                   ;     ; 60, 49;
102;   83, 103, 115;                      67, 86, 127;                   ;     ; 70, 53;
103;   85, 86, 102;                                  ;                   ;     ; 77, 54;  The Temple West
104;   86, 116;                                      ;                   ;     ; 83, 51;  Blackfriars
105;   89, 90, 91, 106, 118;     72, 87, 89, 107, 118;                   ;     ; 102, 49;  London Bridge North
106;   105, 107;                                     ;                   ;     ;108, 48;  Billingsgate Market
107;   91, 106, 119;                     72, 105, 161;                   ;     ;114, 48;  Tower Bridge North
108;   105, 117, 119;                   105, 116, 135;                   ;115  ; 100, 41;  Southwark Cathedral
109;   96, 97, 110, 124;                             ;                   ;     ; 36, 40;  Hyde Park East
110;   98, 99, 109, 111;                             ;                   ;     ; 42, 45;
111;   110, 112, 124;                        100, 124;   67, 79, 153, 163;     ; 45, 42;  Green Park
112;   99, 100, 111, 125;                            ;                   ;     ; 48, 43;  Burlington House
113;   100, 114, 125;                                ;                   ;     ; 55, 42;  Admiralty Arch
114;   101, 113, 115, 126, 131, 132;                 ;                   ;     ; 61, 44;  Charing Cross West
115;   102, 114, 126, 127;                           ;                   ;157, 108; 70, 47;  Waterloo Bridge
116;   104, 117, 127, 128;          86, 118, 127, 142;                   ;     ; 83, 43;
117;   88, 116, 118, 129;                            ;                   ;     ; 93, 39;  Southwark Bridge South
118;   116, 129, 134, 142;                           ;                   ;     ; 83, 37;
119;   107, 118, 136;                                ;                   ;     ;111, 36;  Tower Bridge South
120;   121, 144;                                     ;                   ;     ;  3, 32;  Kensington Gardens South
121;   120, 122, 145;                                ;                   ;     ;  7, 32;  Albert Memorial
122;   95, 121, 123, 146;                    123, 144;                   ;     ; 13, 32;  Royal Albert Hall
123;   122, 124, 137, 148, 149;    122, 124, 144, 165;                   ;     ; 27, 32;  Hyde Park South
124;   109, 111, 123, 130, 138;     77, 111, 123, 153;                   ;     ; 35, 34;  Wellington Museum
125;   112, 113, 131;                                ;                   ;     ; 50, 39;
126;   114, 115, 127, 140;                           ;                   ;     ; 65, 41;  Charing Cross East
127;   115, 116, 126, 133, 134;         102, 116, 133;                   ;     ; 75, 39;  Royal Festival Hall
128;   142, 143, 160, 172, 188; 135, 142, 161, 187, 199;     89, 140, 185;     ; 89, 24;
129;   117, 128, 135, 142, 143;                      ;                   ;     ; 92, 36;
130;   124, 131, 139;                                ;                   ;     ; 47, 34;  Buckingham Palace North
131;   114, 125, 130;                                ;                   ;     ; 52, 37;  St James Park
132;   114, 140;                                     ;                   ;     ; 61, 37;  Old Scotland Yard
133;   127, 140, 141;                   127, 140, 157;                   ;     ; 71, 32;  County Hall
134;   127, 128, 141, 142;                           ;                   ;     ; 78, 35;  Waterloo
135;   129, 136, 143, 161;              118, 159, 161;                   ;     ; 95, 33;
136;   119, 135, 162;                                ;                   ;     ;109, 28;
137;   123, 147;                                     ;                   ;     ; 22, 28;
138;   124, 150, 152;                                ;                   ;     ; 38, 31;  Wellington Arch
139;   130, 140, 153, 154;                           ;                   ;     ; 47, 30;  Buckingham Palace South
140;   126, 132, 133, 139, 154, 156; 82, 133, 154, 156;      89, 153, 159;     ; 61, 32;  Houses of Parliament
141;   133, 134, 142, 158;                           ;                   ;     ; 74, 30;  Archbishop's Park
142;   128, 129, 134, 141, 143, 158, 159; 116, 157, 159;                 ;     ; 83, 29;  Imperial War Museum East
143;   129, 135, 142, 159, 160;                      ;                   ;     ; 92, 30;
144;   120, 145, 177;                   122, 123, 163;                   ;     ;  5, 22;
145;   121, 144, 146;                                ;                   ;     ;  9, 22;  Natural History Museum West
146;   122, 145, 147, 163;                           ;                   ;     ; 14, 23;  Natural History Museum East
147;   137, 146, 164;                                ;                   ;     ; 18, 24;  Victoria and Albert Museum
148;   123, 149, 164;                                ;                   ;     ; 24, 25;
149;   123, 148, 150, 165;                           ;                   ;     ; 29, 25;
150;   138, 149, 151;                                ;                   ;     ; 34, 27;
151;   150, 152, 165, 166;                           ;                   ;     ; 37, 24;
152;   138, 151, 153;                                ;                   ;     ; 41, 27;
153;   139, 152, 154, 166, 167;    124, 154, 180, 184; 111, 140, 163, 185;     ; 43, 24;  Victoria Station North
154;   139, 140, 153, 155;              140, 153, 156;                   ;     ; 52, 26;
155;   154, 156, 167, 168;                           ;                   ;     ; 56, 22;  Westminster Abbey
156;   140, 155, 157, 169;         140, 154, 157, 184;                   ;     ; 62, 22;  Lambeth Bridge West
157;   156, 158, 170;              133, 142, 156, 185;                   ; 194, 115 ; 68, 22;  Lambeth Palace
158;   141, 142, 157, 171;                           ;                   ;     ; 77, 25;  Imperial War Museum West
159;   158, 170, 172, 186, 198;                      ;                   ;     ; 77, 13;
160;   143, 159, 161, 173;                           ;                   ;     ; 96, 22;
161;   135, 160, 174;              107, 135, 159, 199;                   ;     ;103, 23;
162;   136, 175;                                     ;                   ;     ;114, 23;
163;   146, 177;                        144, 176, 191;           111, 153;     ; 14, 20;
164;   147, 148, 178, 179;                           ;                   ;     ; 20, 20;
165;   149, 151, 179, 180;              123, 180, 191;                   ;     ; 30, 18;
166;   151, 153, 181, 183;                           ;                   ;     ; 42, 20;  Victoria Station South
167;   153, 155, 168, 183;                           ;                   ;     ; 50, 19;  Westminster Cathedral
168;   155, 167, 184;                                ;                   ;     ; 54, 16;
169;   156, 184;                                     ;                   ;     ; 62, 18;  Tate Gallery
170;   157, 171, 185;                                ;                   ;     ; 67, 17;
171;   173, 175, 199;                                ;                   ;     ;101,  5;
172;   159, 171, 187;                                ;                   ;     ; 86, 17;
173;   160, 174, 188, 200;                           ;                   ;     ; 98, 14;
174;   161, 173, 175;                                ;                   ;     ;108, 17;  Goods Station
175;   162, 174, 200;                                ;                   ;     ;113, 13;
176;   177, 189;                             163, 190;                   ;     ;  3, 14;
177;   144, 163, 176;                                ;                   ;     ;  8, 15;
178;   164, 189, 191;                                ;                   ;     ; 16, 16;
179;   164, 165, 191;                                ;                   ;     ; 26, 15;
180;   165, 181, 193;              153, 165, 184, 192;                   ;     ; 32, 14;  Chelsea Royal Hospital North
181;   166, 180, 182, 193;                           ;                   ;     ; 39, 15;
182;   181, 183, 195;                                ;                   ;     ; 42, 14;
183;   166, 167, 182, 196;                           ;                   ;     ; 48, 17;
184;   168, 169, 185, 196, 197;    153, 156, 180, 185;                   ;     ; 59, 13;  Vauxhall Bridge West
185;   170, 184, 186;              157, 184, 187, 199;           153, 159;     ; 66,  8;  Vauxhall Park
186;   171, 185, 198;                                ;                   ;     ; 72,  9;
187;   172, 188, 198;                   159, 185, 199;                   ;     ; 83, 12;  Kennington Park
188;   159, 173, 187, 199;                           ;                   ;     ; 94, 12;
189;   176, 178, 190;                                ;                   ;     ;  8,  7;
190;   189, 191, 192;                   176, 180, 191;                   ;     ; 13,  4;
191;   178, 179, 190, 192;              163, 165, 190;                   ;     ; 20, 10;
192;   190, 191;                                     ;                   ;     ; 21,  3;  Albert Bridge
193;   180, 181, 194;                                ;                   ;     ; 37,  9;  Chelsea Royal Hospital East
194;   192, 193, 195;                                ;                   ;157  ; 39,  7;  Chelsea Bridge
195;   182, 194, 197;                                ;                   ;     ; 43,  7;
196;   183, 184, 197;                                ;                   ;     ; 50, 11;
197;   184, 195, 196;                                ;                   ;     ; 51,  6;
198;   171, 186, 187;                                ;                   ;     ; 77,  2;  The Oval Cricket Ground
199;   188, 200;                   159, 161, 185, 187;                   ;     ; 95,  3;
